Symbol,Description,Quantity,Market Value,Cost Basis,Gain/Loss
AAPL,Apple Inc,50,9250.00,7500.00,1750.00
MSFT,Microsoft Corporation,30,12450.00,9000.00,3450.00
NVDA,NVIDIA Corporation,25,18750.00,5000.00,13750.00
GOOGL,Alphabet Inc Class A,10,17800.00,12000.00,5800.00
JPM,JPMorgan Chase & Co,40,7600.00,6400.00,1200.00
V,Visa Inc,35,8225.00,6300.00,1925.00
JNJ,Johnson & Johnson,60,8760.00,9000.00,-240.00
XOM,Exxon Mobil Corporation,45,5175.00,4500.00,675.00
SPY,SPDR S&P 500 ETF Trust,20,10900.00,9000.00,1900.00
QQQ,Invesco QQQ Trust,15,6750.00,5250.00,1500.00
VTI,Vanguard Total Stock Market ETF,25,5750.00,4500.00,1250.00
BRK.B,Berkshire Hathaway Inc Class B,20,7060.00,6000.00,1060.00
AMD,Advanced Micro Devices Inc,30,4050.00,3600.00,450.00
BA,Boeing Company,15,2775.00,3750.00,-975.00
PFE,Pfizer Inc,100,2800.00,4000.00,-1200.00
